Effective area (cm^2) for 14 shell HERO module vs. E (keV) and off-axis angle (arcmin=am) 
    E      0 am    1 am    2 am    3 am    4 am    5 am    6 am    7 am    8 am    9 am   10 am   11 am   12 am 
  51.75    5.81    3.44    1.83    1.15    0.82    0.65    0.51    0.41    0.33    0.26    0.20    0.15    0.12 
  52.00    5.71    3.36    1.78    1.12    0.80    0.63    0.50    0.40    0.32    0.26    0.19    0.15    0.11 
  52.25    5.59    3.28    1.74    1.09    0.78    0.62    0.48    0.39    0.31    0.25    0.19    0.14    0.11 
  52.50    5.47    3.21    1.69    1.07    0.76    0.60    0.47    0.38    0.30    0.24    0.18    0.14    0.10 
  52.75    5.35    3.13    1.65    1.04    0.74    0.59    0.46    0.37    0.30    0.24    0.17    0.13    0.10 
  53.00    5.23    3.06    1.61    1.01    0.72    0.57    0.45    0.36    0.29    0.23    0.17    0.13    0.10 
  53.25    5.14    2.99    1.56    0.98    0.70    0.56    0.44    0.35    0.28    0.22    0.16    0.13    0.09 
  53.50    5.07    2.93    1.52    0.96    0.68    0.54    0.43    0.34    0.27    0.21    0.16    0.12    0.09 
  53.75    5.01    2.86    1.48    0.93    0.66    0.52    0.41    0.33    0.26    0.21    0.15    0.12    0.09 
  54.00    4.94    2.79    1.44    0.90    0.64    0.51    0.40    0.32    0.25    0.20    0.15    0.11    0.08 
  54.25    4.88    2.71    1.40    0.87    0.63    0.49    0.39    0.31    0.25    0.20    0.14    0.11    0.08 
  54.50    4.81    2.64    1.35    0.85    0.61    0.48    0.38    0.30    0.24    0.19    0.14    0.11    0.08 
  54.75    4.74    2.57    1.31    0.82    0.59    0.47    0.37    0.30    0.23    0.18    0.13    0.10    0.07 
  55.00    4.64    2.49    1.27    0.80    0.57    0.45    0.36    0.29    0.22    0.18    0.13    0.10    0.07 
  55.25    4.54    2.42    1.24    0.78    0.56    0.44    0.35    0.28    0.21    0.17    0.12    0.09    0.07 
  55.50    4.43    2.36    1.20    0.75    0.54    0.43    0.34    0.27    0.21    0.17    0.12    0.09    0.06 
  55.75    4.31    2.29    1.17    0.73    0.53    0.42    0.33    0.26    0.20    0.16    0.11    0.09    0.06 
  56.00    4.18    2.23    1.13    0.71    0.51    0.40    0.32    0.25    0.19    0.16    0.11    0.08    0.06 
  56.25    4.07    2.17    1.10    0.69    0.50    0.39    0.31    0.25    0.19    0.15    0.11    0.08    0.06 
  56.50    3.96    2.11    1.07    0.68    0.48    0.38    0.30    0.24    0.18    0.15    0.10    0.08    0.05 
  56.75    3.85    2.06    1.04    0.66    0.47    0.37    0.29    0.23    0.18    0.14    0.10    0.08    0.05 
  57.00    3.74    2.01    1.01    0.64    0.46    0.36    0.28    0.23    0.17    0.14    0.10    0.07    0.05 
  57.25    3.62    1.96    0.98    0.62    0.44    0.35    0.27    0.22    0.17    0.13    0.09    0.07    0.05 
  57.50    3.51    1.91    0.95    0.60    0.43    0.34    0.27    0.21    0.16    0.13    0.09    0.07    0.05 
  57.75    3.41    1.86    0.93    0.58    0.42    0.33    0.26    0.21    0.16    0.12    0.09    0.06    0.04 
  58.00    3.33    1.82    0.90    0.57    0.40    0.32    0.25    0.20    0.15    0.12    0.09    0.06    0.04 
  58.25    3.25    1.77    0.87    0.55    0.39    0.31    0.24    0.20    0.15    0.12    0.08    0.06    0.04 
  58.50    3.18    1.73    0.85    0.53    0.38    0.30    0.24    0.19    0.14    0.11    0.08    0.06    0.04 
  58.75    3.10    1.69    0.83    0.52    0.37    0.30    0.23    0.19    0.14    0.11    0.08    0.06    0.04 
  59.00    3.02    1.64    0.80    0.50    0.36    0.29    0.23    0.18    0.13    0.11    0.07    0.05    0.04 
  59.25    2.96    1.60    0.78    0.49    0.35    0.28    0.22    0.18    0.13    0.10    0.07    0.05    0.04 
  59.50    2.91    1.55    0.76    0.47    0.34    0.27    0.21    0.17    0.13    0.10    0.07    0.05    0.03 
  59.75    2.87    1.51    0.74    0.46    0.33    0.26    0.21    0.17    0.12    0.10    0.07    0.05    0.03 
  60.00    2.85    1.46    0.72    0.45    0.32    0.26    0.20    0.16    0.12    0.09    0.06    0.05    0.03 
  60.25    2.83    1.41    0.70    0.43    0.31    0.25    0.20    0.16    0.11    0.09    0.06    0.04    0.03 
  60.50    2.81    1.37    0.68    0.42    0.30    0.24    0.19    0.15    0.11    0.09    0.06    0.04    0.03 
  60.75    2.78    1.32    0.66    0.41    0.29    0.23    0.18    0.15    0.11    0.08    0.06    0.04    0.03 
  61.00    2.75    1.27    0.64    0.39    0.28    0.23    0.18    0.14    0.10    0.08    0.05    0.04    0.03 
  61.25    2.71    1.23    0.62    0.38    0.27    0.22    0.17    0.14    0.10    0.08    0.05    0.04    0.03 
  61.50    2.67    1.18    0.60    0.37    0.26    0.21    0.17    0.13    0.09    0.08    0.05    0.04    0.03 
  61.75    2.62    1.14    0.58    0.36    0.26    0.21    0.16    0.13    0.09    0.07    0.05    0.03    0.02 
  62.00    2.56    1.09    0.56    0.35    0.25    0.20    0.16    0.13    0.09    0.07    0.05    0.03    0.02 
  62.25    2.49    1.05    0.54    0.34    0.24    0.19    0.15    0.12    0.08    0.07    0.04    0.03    0.02 
  62.50    2.42    1.02    0.53    0.33    0.23    0.19    0.15    0.12    0.08    0.06    0.04    0.03    0.02 
  62.75    2.34    0.99    0.51    0.32    0.23    0.18    0.14    0.11    0.08    0.06    0.04    0.03    0.02 
  63.00    2.27    0.95    0.50    0.31    0.22    0.18    0.14    0.11    0.08    0.06    0.04    0.03    0.02 
  63.25    2.21    0.93    0.48    0.30    0.21    0.17    0.13    0.11    0.07    0.06    0.04    0.03    0.02 
  63.50    2.17    0.90    0.47    0.29    0.21    0.17    0.13    0.10    0.07    0.05    0.04    0.03    0.02 
  63.75    2.13    0.87    0.45    0.29    0.20    0.16    0.12    0.10    0.07    0.05    0.03    0.02    0.02 
  64.00    2.11    0.85    0.44    0.28    0.19    0.15    0.12    0.10    0.06    0.05    0.03    0.02    0.02 
  64.25    2.08    0.82    0.42    0.27    0.19    0.15    0.11    0.09    0.06    0.05    0.03    0.02    0.02 
  64.50    2.06    0.79    0.41    0.26    0.18    0.14    0.11    0.09    0.06    0.04    0.03    0.02    0.02 
  64.75    2.03    0.77    0.39    0.25    0.17    0.14    0.11    0.09    0.06    0.04    0.03    0.02    0.01 
  65.00    2.01    0.74    0.38    0.24    0.17    0.13    0.10    0.08    0.06    0.04    0.03    0.02    0.01 
  65.25    1.98    0.71    0.36    0.23    0.16    0.13    0.10    0.08    0.05    0.04    0.03    0.02    0.01 
  65.50    1.95    0.69    0.35    0.22    0.15    0.13    0.09    0.08    0.05    0.04    0.03    0.02    0.01 
  65.75    1.91    0.66    0.34    0.21    0.15    0.12    0.09    0.08    0.05    0.03    0.02    0.02    0.01 
  66.00    1.86    0.64    0.33    0.21    0.14    0.12    0.09    0.07    0.05    0.03    0.02    0.02    0.01 
  66.25    1.81    0.62    0.32    0.20    0.14    0.11    0.08    0.07    0.05    0.03    0.02    0.01    0.01 
  66.50    1.75    0.60    0.31    0.19    0.13    0.11    0.08    0.07    0.05    0.03    0.02    0.01    0.01 
  66.75    1.68    0.57    0.30    0.19    0.13    0.11    0.08    0.06    0.04    0.03    0.02    0.01    0.01 
  67.00    1.61    0.55    0.29    0.18    0.12    0.10    0.08    0.06    0.04    0.03    0.02    0.01    0.01 
  67.25    1.54    0.53    0.28    0.17    0.12    0.10    0.07    0.06    0.04    0.03    0.02    0.01    0.01 
  67.50    1.47    0.51    0.27    0.17    0.12    0.10    0.07    0.06    0.04    0.02    0.02    0.01    0.01 
  67.75    1.42    0.50    0.26    0.16    0.11    0.09    0.07    0.05    0.04    0.02    0.02    0.01    0.01 
  68.00    1.37    0.48    0.25    0.16    0.11    0.09    0.06    0.05    0.04    0.02    0.01    0.01    0.01 
  68.25    1.32    0.46    0.24    0.15    0.10    0.09    0.06    0.05    0.03    0.02    0.01    0.01    0.01 
  68.50    1.27    0.44    0.23    0.14    0.10    0.08    0.06    0.05    0.03    0.02    0.01    0.01    0.01 
  68.75    1.21    0.42    0.22    0.14    0.10    0.08    0.06    0.05    0.03    0.02    0.01    0.01    0.01 
  69.00    1.16    0.40    0.21    0.13    0.09    0.08    0.05    0.04    0.03    0.02    0.01    0.01    0.01 
  69.25    1.10    0.38    0.20    0.13    0.09    0.07    0.05    0.04    0.03    0.02    0.01    0.01    0.01 
  69.50    1.05    0.37    0.20    0.12    0.08    0.07    0.05    0.04    0.03    0.02    0.01    0.01    0.01 
  69.75    1.02    0.35    0.19    0.12    0.08    0.07    0.05    0.04    0.03    0.01    0.01    0.01    0.01 
  70.00    0.99    0.34    0.18    0.11    0.08    0.06    0.05    0.04    0.03    0.01    0.01    0.01    0.01 
  70.25    0.98    0.32    0.17    0.11    0.07    0.06    0.04    0.04    0.02    0.01    0.01    0.01    0.00 
  70.50    0.97    0.31    0.17    0.11    0.07    0.06    0.04    0.03    0.02    0.01    0.01    0.01    0.00 
  70.75    0.97    0.30    0.16    0.10    0.07    0.06    0.04    0.03    0.02    0.01    0.01    0.01    0.00 
  71.00    0.96    0.28    0.15    0.10    0.07    0.05    0.04    0.03    0.02    0.01    0.01    0.01    0.00 
  71.25    0.95    0.27    0.15    0.09    0.06    0.05    0.04    0.03    0.02    0.01    0.01    0.01    0.00 
  71.50    0.94    0.26    0.14    0.09    0.06    0.05    0.04    0.03    0.02    0.01    0.01    0.00    0.00 
  71.75    0.93    0.25    0.13    0.09    0.06    0.05    0.03    0.03    0.02    0.01    0.01    0.00    0.00 
  72.00    0.92    0.23    0.13    0.08    0.06    0.04    0.03    0.02    0.02    0.01    0.01    0.00    0.00 
  72.25    0.90    0.22    0.12    0.08    0.05    0.04    0.03    0.02    0.02    0.01    0.01    0.00    0.00 
  72.50    0.88    0.21    0.12    0.07    0.05    0.04    0.03    0.02    0.01    0.01    0.01    0.00    0.00 
  72.75    0.85    0.20    0.11    0.07    0.05    0.04    0.03    0.02    0.01    0.01    0.01    0.00    0.00 
  73.00    0.82    0.19    0.10    0.07    0.04    0.03    0.03    0.02    0.01    0.01    0.00    0.00    0.00 
  73.25    0.78    0.18    0.10    0.06    0.04    0.03    0.02    0.02    0.01    0.01    0.00    0.00    0.00 
  73.50    0.73    0.17    0.09    0.06    0.04    0.03    0.02    0.02    0.01    0.01    0.00    0.00    0.00 
  73.75    0.67    0.17    0.09    0.06    0.04    0.03    0.02    0.02    0.01    0.01    0.00    0.00    0.00 
  74.00    0.61    0.16    0.08    0.05    0.04    0.03    0.02    0.02    0.01    0.01    0.00    0.00    0.00 
  74.25    0.55    0.15    0.08    0.05    0.03    0.03    0.02    0.02    0.01    0.01    0.00    0.00    0.00 
  74.50    0.49    0.14    0.08    0.05    0.03    0.03    0.02    0.01    0.01    0.00    0.00    0.00    0.00 
  74.75    0.43    0.13    0.07    0.05    0.03    0.02    0.02    0.01    0.01    0.00    0.00    0.00    0.00 
  75.00    0.39    0.13    0.07    0.04    0.03    0.02    0.02    0.01    0.01    0.00    0.00    0.00    0.00 
  75.25    0.35    0.12    0.06    0.04    0.03    0.02    0.01    0.01    0.01    0.00    0.00    0.00    0.00 
  75.50    0.31    0.11    0.06    0.04    0.03    0.02    0.01    0.01    0.01    0.00    0.00    0.00    0.00 
  75.75    0.26    0.10    0.06    0.03    0.02    0.02    0.01    0.01    0.01    0.00    0.00    0.00    0.00 
  76.00    0.19    0.09    0.05    0.03    0.02    0.02    0.01    0.01    0.01    0.00    0.00    0.00    0.00 
  76.25    0.09    0.08    0.04    0.03    0.02    0.01    0.01    0.01    0.00    0.00    0.00    0.00    0.00 
  76.50    0.06    0.06    0.03    0.02    0.01    0.01    0.01    0.01    0.00    0.00    0.00    0.00    0.00 
